id;name;date_of_birth;address;bank_account
1;Assistant;2022-07-04;heuristic program;Investment Security
2;SQL;2022-07-03;mission-critical Music;Implementation Consultant Kong
3;Rubber Chile;2022-07-04;users;Directives Soft Implementation
4;partnerships Uzbekistan intelligence;2022-07-03;Steel;invoice copying protocol
5;deposit digital Compatible;2022-07-04;Credit;plum synthesize Lilangeni
6;Chair Directives;2022-07-03;quantifying Games;Pine Nevada Court
7;FTP Concrete;2022-07-03;Refined Island architectures;fuchsia override
8;deposit Horizontal;2022-07-03;Kenya UIC-Franc;Shirt Rubber
9;Table;2022-07-04;maroon;Shoes overriding Japan
10;invoice;2022-07-03;connecting;fuchsia International
